Topic,Book Count
mail-order-brides,10169
malabo,463
malawi,1592
mali,3832
management,222899
managers,1417
manga,8972232
manga-romance,48854
manhwa,126929
mannerpunk,5378
maps,43559
marathi,26826
maritime,54942
marriage,413626
martial-artist,20
martial-arts,79183
martyr,2277
martyrdom,2825
marvel,496613
mary-i,1743
mary-wollstonecraft,1260
material-culture,7585
mathematics,211822
mauritania,1058
mauritius,3075
maxillofacial-surgery,4
media-tie-in,185330
medical-ethics,11896
medical-profession,4863
medicine,306106
medieval,428498
medieval-history,77372
medieval-romance,30736
medievalesque,2861
medievalism,19458
memoir,2302721
menage,292844
mental-health,963318
mental-illness,430210
mermaids,87234
metallurgy,582
metaphysics,129566
microhistory,57942
middle-english-literature,912
middle-grade,2141461
military-fiction,113529
military-historical-fiction,5039
military-history,224457
military-romance,75961
military-science-fiction,38352
mills-and-boon,41571
mineralogy,650
mira,27914
mixed-martial-arts,1240
mmorpg,2519
modern,980799
modern-classics,541106
mogadishu,503
mombasa,449
money,202957
money-management,6486
monrovia,224
monsters,315751
mormonism,14989
morocco,26055
moscow,12254
motorcycle,30336
motorcycling,1420
mountaineering,22064
mozambique,4034
multicultural-literature,38070
multiple-partners,29263
multiplication,806
murder-mystery,545093
muscovy,1040
museums,20975
music,1008830
music-biography,9055
musicals,33074
musician-erotica,908
musicians,75990
muslimah,938
muslims,8523
mystery,9709809
mystery-thriller,2241664
mysticism,114426
mythology,1345193
nairobi,2969
namibia,4843
native-american-history,14606
natural-history,113464
nature,772010
naturopathy,1733
naval-historical-fiction,2676
naval-history,17132
nazarene,449
nazi-party,14485
near-future,104340
neo-medieval,1314
nerd,97290
neuroscience,116331
new-adult,2062356
new-adult-romance,153668
new-age,97970
new-testament,31135
new-weird,28720
niger,1264
nigeria,28553
noir,340417
nordic-noir,44761
norman,11037
north-american-history,18576
northern-africa,5411
novels,3458423
nsfw,102304
number,10029
number-theory,1914
numeracy,1901
numerology,3285
numismatics,1541
nursery-rhymes,11658
nursing,34602
nutrition,121603
occult-detective,7038
old-english-literature,4136
old-testament,24548
omegaverse,176119
oppositional-defiance-disorder,16
oral-history,12584
oral-surgery,550
organizational-culture,2110
origami,8179
ornithology,7340
outdoors,108166
overland-campaign,117
paganism,62777
pakistan,38049
palaeontology,4493
palaeozoology,442
palmistry,889
paranormal,4448936
paranormal-mystery,87405
paranormal-romance,1647143
parenting,687105
pathological-demand-avoidance,442
patternmaking,706
peak-oil,2311
pediatricians,476
peer-review,1631
peninsula-campaign,29
personal-development,604040
personal-finance,65886
petrograd,480
philip-ii-of-spain,9
philosophy,3659921
photography,270855
phrenology,892
physical-therapy,3487
physics,239862
physiotherapy,1904
picture-books,2924772
picu,130
pirates,159754
planetary-romance,12142
planets,12854
plantagenet,11339
plants,61197
plays,909033
plus-size,23579
poland,82806
police,221923
polish-literature,69492
political-development,1444
political-ethics,1598
political-science,275195
politics,2458262
polyamorous,29693
polyandry,1983
polygamy,8464
polygyny,64
pop-culture,257855
popular-science,140753
portugal,116718
portuguese-literature,30834
post-apocalyptic,392758
poverty,150344
pre-k,53057
pre-raphaelite,1855
prehistoric,15707
prehistory,32317
presidents,91904
pretoria,535
princesses,59266
professors,7820
programming,232015
programming-languages,5253
prostitution,36416
pseudomedicine,130
pseudoscience,24282
psychiatry,59500
psychoanalysis,75933
psychohistory,2249
psychological-horror,38811
psychological-thriller,372984
psychology,2484533
public-transport,11754
pulp,266912
pulp-adventure,11256
pulp-noir,23615
punk,29545
punx,1240
puzzles,33775
quackery,763
qualitative-research,1792
quantitative-research,466
quantum-mechanics,7347
queer,1297018
queer-lit,141585
queer-studies,26358
quilting,38022
r-subgenre-category-romance,383
rabat,808
rabbits,18462
